District,underserved_binary,expansion_priority_score
Alipurduar,1,0.6540853912161296
Bankura,1,0.6653913814009995
Birbhum,0,0.7580767225593473
Dakshin Dinajpur,1,0.5617701040596319
Darjeeling,1,0.4282182061489996
Hooghly,1,0.4997163755766201
Howrah,1,0.38171189728816757
Jalpaiguri,1,0.5150705037815941
Jhargram,1,0.3877883640217397
Kalimpong,1,0.7013748346838267
Malda,1,0.7165641275278329
Murshidabad,0,0.8237122478532444
Nadia,1,0.6928079667911192
Paschim Burdwan,1,0.529628860234089
Paschim Medinipur,0,0.7621470106604482
Purba Medinipur,1,0.5811236184981162
Purulia,1,0.4936001780955323
South 24 Parganas,0,0.8186511323814682
Uttar Dinajpur,1,0.6834667143486368
